wdid,name,pid,position,psid
Q1000761,Νικόλαος Μακαρέζος,Q3394691,Αντιπρόεδρος της Κυβέρνησης της Ελλάδας,Q1000761-C60D219B-34A0-4EC1-8847-BB3C4DEE920A
Q5558236,Γιάννης Δραγασάκης,Q3394691,Αντιπρόεδρος της Κυβέρνησης της Ελλάδας,Q5558236-266E5049-E1E2-46CD-B148-1439F88A9117
Q552751,Κυριάκος Μητσοτάκης,Q4377230,Πρωθυπουργός της Ελλάδος,Q552751-aa449e12-4100-c613-70f5-c7e0ad4f8f17
Q20995374,Σταύρος Αραχωβίτης,Q20128305,Υπουργός Αγροτικής Ανάπτυξης και Τροφίμων της Ελλάδας,Q20995374-E27A0BD3-E87D-4DBA-8D43-BD895A315C3A
Q1371404,Γεώργιος Αθανασιάδης - Νόβας,Q19904343,Υπουργός Βιομηχανίας της Ελλάδας,Q1371404-4373D3B0-B6C5-4029-BE7B-6EFAB9B5A94D
Q155390,Κώστας Σημίτης,Q19860606,Υπουργός Γεωργίας της Ελλάδας,Q155390-5E9E2F1D-6FF5-42D8-A9CA-C481BA2E9C94
Q12873668,Ανδρέας Χ. Λόντος,Q19860560,Υπουργός Δικαιοσύνης της Ελλάδας,Q12873668-74E974DB-73B1-44B8-812D-B301D5329906
Q93882333,Θεόδωρος Πετρινός,Q19860560,Υπουργός Δικαιοσύνης της Ελλάδας,Q93882333-F53A895B-F3D0-4CD8-BA5B-965BE164F20A
Q53004895,Παναγιώτης Πετρίδης,Q19860560,Υπουργός Δικαιοσύνης της Ελλάδας,Q53004895-8EF28DF1-A020-4411-88B1-8F6186FBAD90
Q12885092,Σωτήριος Σολιώτης,Q19860560,Υπουργός Δικαιοσύνης της Ελλάδας,Q12885092-7CC64ED3-ED48-4742-9664-88B402A54579
Q12885092,Σωτήριος Σολιώτης,Q19860560,Υπουργός Δικαιοσύνης της Ελλάδας,Q12885092-7CC64ED3-ED48-4742-9664-88B402A54579
Q56558205,Μιχάλης Καλογήρου,Q23901400,"Υπουργός Δικαιοσύνης, Διαφάνειας και Ανθρωπίνων Δικαιωμάτων",Q56558205-9907543A-469C-4126-B9B0-74CCE8567579
Q155390,Κώστας Σημίτης,Q19858443,Υπουργός Εθνικής Παιδείας και Θρησκευμάτων της Ελλάδας,Q155390-D0E84822-6472-43AE-8899-B17504C5D6C2
Q12873668,Ανδρέας Χ. Λόντος,Q19904308,Υπουργός Εκκλησιαστικών της Ελλάδας και Δημοσίας Εκπαιδεύσεως,Q12873668-D623F34D-B248-4899-86AD-D3E4CF4192B5
Q754780,Αθανάσιος Κανελλόπουλος,Q19860769,Υπουργός Εμπορίου της Ελλάδας,Q754780-44889E51-BC3F-40F5-BD70-651EC85C9874
Q155390,Κώστας Σημίτης,Q19860769,Υπουργός Εμπορίου της Ελλάδας,Q155390-51CAD4B7-F879-4DC3-A85E-B64CC7732BD6
Q701060,Γεράσιμος Αρσένης,Q19858626,Υπουργός Εμπορικής Ναυτιλίας της Ελλάδας,Q701060-71F20FCD-12FE-43B5-9031-7ED7C0F298F8
Q1529904,Κωνσταντίνος Καραπάνος,Q16147098,Υπουργός Εξωτερικών της Ελλάδας,Q1529904-9698af64-41f3-b64b-2247-6fe35d56d906
Q21063534,Χριστόφορος Βερναρδάκης,Q3559112,Υπουργός Επικρατείας της Ελλάδας,Q21063534-b1c2fed8-4100-2a4b-4f86-77ce2cb20a57
Q65273184,Κυριάκος Πιερρακάκης,Q3559112,Υπουργός Επικρατείας της Ελλάδας,Q65273184-e91fe5a5-4fc4-a7c7-622c-68ac93686e54
Q28777717,Δημήτρης Τζανακόπουλος,Q3559112,Υπουργός Επικρατείας της Ελλάδας,Q28777717-4B921474-B60D-46D3-8BED-59AE341F21B8
Q1371404,Γεώργιος Αθανασιάδης - Νόβας,Q19858317,Υπουργός Εσωτερικών της Ελλάδας,Q1371404-9A4DEF03-0658-41D6-89AB-FEDB1AF64678
